"ID","Bezeichnung","Beschreibung","URL","NetzwerkeServices","DigitaleAnwendungen","Empfehlungen","RechercheRessourcen","KulturSammlungsgutKolonialeKontexte","NsverfolgungsbedingtEntzogenesKulturgut","KulturgutentziehungenSBZDDR","KriegsbedingtVerlagertesKulturgut","HumanRemains","SecretSacredObjects","NaturkundeNaturwissenschaft"
"OBH3BB","Görlitzer Adreßbuch ... einschließend die Vororte Groß- und Klein-Biesnitz und Weinhübel von 1949/50 (1949)","Görlitzer Adressbuch 1949/1950 einschließend der Vororte Grog und Klein Biesnitz digitalisiert und bereitgestellt von der SLUB Dresden","http://digital.slub-dresden.de/id414906306-19490000/1",,,,"x",,,"x",,,,
"HSZK1U","Historische Adressbücher nach 1945 digital","Nach Orten und Jahren geordnete Linkliste zu den Adressbüchern","http://www.adressbuecher.net/addressbooks/all?offset=0&max=25&order=desc&sort=year",,,,"x",,,"x",,,,
"RI6OQ9","Telefonbücher Ost-Berlin 1955-1991","Im Osten der Stadt erschienen Telefonbücher ab 1955 in einem zwei- bis dreijährigen Rhythmus. 1989 kam das letzte in der DDR publizierte Telefonbuch zu Ost-Berlin heraus. Das Telefonbuch änderte im Laufe seiner Geschichte seinen Titel.","https://digital.zlb.de/viewer/cms/147/",,,,"x",,,"x",,,,
"Q8CDIR","Übersicht zu postkolonialen Provenienzforschungsprojekten im deutschsprachigen Raum","Die Liste umfasst Projekte zur Provenienzforschung zu Kultur- und Sammlungsgut aus kolonialen Kontexten an ethnologischen Museen und ethnografischen Sammlungen im deutschsprachigen Raum. Sie wurde von den Mitgliedern der AG Koloniale Provenienzen des Arbeitskreises Provenienzforschung e.V. erstellt, um einen Überblick über vorhandene Forschung und Kooperationen zu bieten und so mehr Transparenz in einem diversen Forschungsfeld zu schaffen. Die Liste umfasst Projekte seit 2012, erhebt keinen Anspruch auf Vollständigkeit und wird laufend ergänzt und aktualisiert.","https://www.postcolonial-provenance-research.com/ag-projekte/","x",,,"x","x",,,,"x","x",
"TDO7V0","Basler Afrika Bibliographien","Basler Afrika Bibliographien (BAB) is a centre of documentation and expertise on Namibia and southern Africa, located in Basel, Switzerland. The institution comprises an archive, a specialist library and a publishing house, in addition to offering scholarly, cultural and socio-political events. Its books and documents on Namibia are of international renown, and are known among experts as the most comprehensive documentation outside of Namibia. Among its holdings is a collection of rare books with volumes on Africa going back to the 16th century, a large collection of African posters and extensive historical archives of images, sound recordings, manuscripts and ephemera. Its collections are complemented by scholarly publication activities. The archive and library holdings may be searched online and consulted on site. Specific research requests are expertly addressed by a team of scholarly staff. Publishing house titles may be ordered online.","https://www.baslerafrika.ch/","x",,,"x","x",,,,,"x",
"WZX1A6","Quellen zur Kolonialgeschichte","Das Bundesarchiv verwahrt eine Vielzahl authentischer Quellen zur deutschen Kolonialzeit (1884-1918), die einen differenzierten Blick auf das damalige Geschehen erlauben. Eine zentrale Stellung nimmt die Überlieferung des Reichskolonialamts ein, das von Berlin aus die Verwaltung der deutschen Kolonien in Afrika und dem Pazifik steuerte. Die fast 10.000 Aktenbände des Bestandes Reichskolonialamt (R 1001) sind nahezu vollständig online zugänglich. Sie geben u.a. Einblick in politische Entscheidungen, Verwaltungsaufbau, Wirtschafts- und Verkehrsinfrastrukturen, Beziehungen zu den Einheimischen, bewaffnete Auseinandersetzungen, Forschungsexpeditionen, Missions- und Schulwesen. Als einzige deutsche Kolonie unterstand das „Pachtgebiet“ Kiautschou in China nicht dem Reichskolonialamt, sondern dem Reichsmarineamt. Die Erschließungsinformationen zum Bestand Reichsmarineamt (RM 3) sowie Digitalisate des Bestandes Gouvernement des Schutzgebietes Kiautschou (RM 16) sind online zugänglich.
Die Überlieferung, die bei den deutschen Behörden in den Kolonien selbst entstanden ist, befindet sich heute in der Regel in den Nationalarchiven der Nachfolgestaaten. Das Bundesarchiv hält dazu in Berlin-Lichterfelde eine Reihe von Findmitteln und Mikrofilmen für die Einsichtnahme bereit. Die Online-Bereitstellung von Findmitteln und Archivalien regionaler Kolonialbehörden wurde mit den Beständen aus Kamerun (R 175) begonnen und wird sukzessive fortgesetzt. Die staatlichen Akten werden durch Unterlagen von privaten Akteuren ergänzt, wie z.B. der Neu-Guinea-Compagnie (R 8133) oder des Staatssekretärs des Reichskolonialamts, Wilhelm Solf (N 1053). Erschließungsinformationen finden Sie online.
Außerdem stellt das Bundesarchiv zahlreiche Karten und Fotos aus der deutschen Kolonialzeit bereit. Entdecken Sie im Digitalen Bildarchiv neue Aspekte der deutschen Kolonialgeschichte.","https://www.bundesarchiv.de/im-archiv-recherchieren/archivgut-recherchieren/nach-themen/kolonialgeschichte/",,,,"x","x",,,,"x","x",
"ILU941","MIDA ─ Das Moderne Indien in Deutschen Archiven 1706-1989","Ziel des Langfristvorhabens „Das Moderne Indien in Deutschen Archiven“ (MIDA) ist es, die Bestände deutscher Archive zur Geschichte des modernen Indiens und zur deutsch-indischen Verflechtungsgeschichte von 1706 bis 1989/90 systematisch in einer Datenbank zu erfassen und inhaltlich zu erschließen. Über diese Erfassung der relevanten Bestände hinaus soll deren Aufbereitung in einem digitalen Archivführer gewährleisten, diese Archivdaten langfristig verfügbar zu machen.","https://www.projekt-mida.de/","x",,,"x","x",,,,,,
"S3O4XZ","Locating Namibian Cultural Heritage in Museums and Universities in German-Speaking Countries: A Finding Aid for Provenance Research (2024)","Der Finding Aid zielt darauf ab, namibische Kulturgüter in deutschen Museen und Universitätssammlungen sichtbar, kenntlich, identifizierbar, auffindbar, recherchierbar, referenzierbar und rückgabefähig zu machen. Zielgruppen sind deutsche und namibische Provenienzforschende und Denkmalpflegende, Wissenschaftler*innen und Künstler*innen, Aktivist*innen und Entscheidungsträger*innen sowie eine breitere namibische und deutsche Öffentlichkeit.","https://perspectivia.net/receive/pnet_mods_00006320",,,,"x","x",,,,"x","x",
"BNHR9R","German Contact Point for Collections from Colonial Contexts: Benin-Bronzes in Germany","Diese Datenbank bietet einen Überblick über die Benin-Bronzen, die sich in deutschen Museen befinden. Die Informationen und Bilder in dieser Datenbank werden regelmäßig aktualisiert.","https://www.cp3c.org/benin-bronzes/",,,,"x","x",,,,,,
"D0SI4T","Basel Mission Archives (Mission 21)","BM Archives bietet Zugang zu einer großen Auswahl an digitalisiertem Bild- und Kartenmaterial sowie zu umfassenden Katalogdaten des Basler Missionsarchivs: rund 30.000 Bilder, 6.700 Karten, Skizzen und Pläne sowie detaillierte Verweise auf umfangreiches Schriftgut. Die Website ist ein interaktives Recherchetool für die breite Öffentlichkeit und die internationale wissenschaftliche Gemeinschaft und eröffnet den Zugang zu einer bedeutenden Quellenbasis für die Geschichte des 19. und 20. Jahrhunderts.","https://www.bmarchives.org/",,,,"x","x",,,,,,
"QNERDH","AmaniStadeProject","Die Sammlung Karl Braun und die Rolle des Amani-Instituts während der deutschen Kolonialzeit in Tansania","https://sammlung-braun.museen-stade.de/doku.php?id=start",,,,"x","x",,,,,,
"QA0VXX","Mission Archives Series - University of Leipzig papers on Africa","Diese Reihe von Leitfäden zu Materialien über Afrika in ausgewählten deutschsprachigen Missionsarchiven begann als Pilotprojekt der Universitäten Bayreuth und Leipzig mit Unterstützung der VolkswagenStiftung (1998-2000). Die Führer erleichtern Anthropologen, Historikern, Sprachwissenschaftlern und anderen an Afrika Interessierten die Suche nach schriftlichem (ungedrucktem) oder fotografischem Material vor dem Besuch des jeweiligen Archivs. Zu den bisher behandelten Archiven gehören Basel, Bremen, Herrnhut, Leipzig, Neuendettelsau, Nürnberg und St. Ottilien sowie Moshi in Tansania. Die Reihe umfasst auch zwei Nachlasssammlungen zur Geschichte und zum Archivwesen der deutschen Missionen.","https://nbn-resolving.org/urn:nbn:de:bsz:15-qucosa2-323801",,,,"x","x",,,,,,
"W3PG9C","Kulturgutentzug in der Sowjetischen Besatzungszone und der DDR: historische Hintergründe, Praxisbeispiele und Rechercheansätze ; eine Handreichung für Museen (2024)","Die Handreichung „Kulturgutentzug in der Sowjetischen Besatzungszone und in der DDR: Historische Hintergründe – Praxisbeispiele – Rechercheansätze“ trägt dem gewachsenen Interesse von Museumsmitarbeiterinnen und  -mitarbeitern Rechnung, sich mit problematischen Sammlungszugängen nach 1945 zu beschäftigen. Sie richtet sich zwar vorrangig an Museen, ist aber auch grundsätzlich als Einstieg in den komplexen Themenbereich Kulturgutentzug in SBZ und DDR geeignet. 
Zitiervorschlag: Scheunemann, J., & Sachse, A. (2024). Kulturgutentzug in der Sowjetischen Besatzungszone und der DDR: Historische Hintergründe, Praxisbeispiele und Rechercheansätze ; eine Handreichung für Museen (Museumsverband Sachsen-Anhalt & Museumsverband des Landes Brandenburg, Hrsg.). https://www.museen-brandenburg.de/themen/provenienzforschung/handreichung-kulturgutentzug-sbz-ddr ","https://www.museen-brandenburg.de/themen/provenienzforschung/handreichung-kulturgutentzug-sbz-ddr",,,"x",,,,"x",,,,
"CGHQCS","Minimaldatensatz-Empfehlung","Die Minimaldatensatz-Empfehlung soll kleineren und größeren Museen und Sammlungen den Weg zur Online-Veröffentlichung ihrer Daten ebnen und relevante Standards in leicht verständlicher, niedrigschwelliger Form vermitteln. Ziel ist es, das Bewusstsein für Datenqualität in den Kultureinrichtungen zu schärfen und sie bei der Online-Publikation zu unterstützen. Die Empfehlung ist für eine praxisnahe Anwendung im Museumsalltag gedacht. 
Die Minimaldatensatz-Empfehlung soll Museen dabei unterstützen, bereits an der Basis die Weichen für konsistentere und qualitativ hochwertigere Daten zu stellen, kontrollierte Vokabulare nach und nach in ihre Dokumentations- und Publikationspraxis zu integrieren und so ihre wertvollen Datenbestände für zeitgemäße Nutzungsszenarien mit Linked Open Data vorzubereiten.","https://wiki.deutsche-digitale-bibliothek.de/pages/viewpage.action?pageId=120422678",,,"x",,"x","x","x","x","x","x","x"
"QO188L","dbv - Empfehlung Sammlungen in der Provenienzerschließung (2020)","Die dbv-Kommission Provenienzforschung und Provenienzerschließung empfiehlt, Sammlungen im Rahmen der Provenienzerschließung über Werksätze in
der GND zu erfassen und bei der Provenienzerschließung mit den zugehörigen Objekten zu verknüpfen. Gleichzeitig sind diese Empfehlungen grundsätzlich als Option zu verstehen. Sie können und sollen angesichts begrenzter Ressourcen nach Maßgabe eigener Priorisierung und selbstverständlich nach Maßgabe des zu beschreibenden Materials umgesetzt werden.
Zitiervorschlag: Deutscher Bibliotheksverband, & Kommission Provenienzforschung und Provenienzerschließung. (2020). Empfehlungen Sammlungen in der Provenienzerschließung. https://www.bibliotheksverband.de/sites/default/files/2020-12/Empfehlungen%20Sammlungen%20in%20der%20Provenienzerschließung.pdf ","https://www.bibliotheksverband.de/sites/default/files/2020-12/Empfehlungen%20Sammlungen%20in%20der%20Provenienzerschlie%C3%9Fung.pdf",,,"x",,"x","x","x","x","x","x","x"
"LONMJG","Handreichung: Digitale Grunderfassung. 10 Grundsätze (2022) ","Das Ziel der Handreichung: Digitale Grunderfassung. 10 Grundsätze ist nicht die Frage, welche Informationen Teil der Grunderfassung sein sollten, sondern wie diese Informationen aufzubereiten sind. Zielgruppen sind vor allem  Museen und deren Verantwortliche, unabhängig von Größe und der Art der Sammlungsgebiete.
Zitiervorschlag: Bergmeyer, W., & Klimpel, P. (2022). Handreichung: Digitale Grunderfassung. 10 Grundsätze (Deutscher Museumsbund e. V., Hrsg.). https://www.museumsbund.de/wp-content/uploads/2022/12/handreichung-digitale-grunderfassung.pdf ","https://www.museumsbund.de/wp-content/uploads/2022/12/handreichung-digitale-grunderfassung.pdf",,,"x",,"x","x","x","x","x","x","x"
"JF2OAR","Leitfaden zur Standardisierung von Provenienzangaben (2018)","Der Leitfaden zur Standardisierung von Provenienzangaben stellt eine Empfehlungen für eine standardisierte Schreibweise von Provenienzangaben durch den Arbeitskreis Provenienzforschung e.V. dar. Er wurde als praktische Orientierungshilfe konzipiert, die sowohl den Einstieg in das Feld der Provenienzforschung erleichtern soll, als auch erfahrenen KollegInnen Impulse für die Dokumentation und Vermittlung ihrer Forschungsergebnisse liefern kann. Anhand von Beispielen zeigt der Leitfaden auf, wie sich die ermittelten Segmente einer Provenienzangabe ebenso detailliert wie nachvollziehbar zusammenfassen lassen. Der vorliegende Leitfaden versteht sich als ausbaufähiges Denkmodell und praktische Empfehlung und nicht als starres Regelwerk.
Zitiervorschlag: Andratschke, C., Hartmann, J., Poltermann, J., Reuter, B., Schmeisser, I., & Schöddert, W. (2018). Leitfaden zur Standardisierung von Provenienzangaben (Arbeitskreis Provenienzforschung e. V., Hrsg.). https://www.arbeitskreis-provenienzforschung.org/wp-content/uploads/2022/10/Leitfaden_APFeV_online.pdf ","https://www.arbeitskreis-provenienzforschung.org/wp-content/uploads/2022/10/Leitfaden_APFeV_online.pdf",,,"x",,"x","x","x","x","x","x","x"
"APADYR","Leitfaden Provenienzforschung. Zur Identifizierung von Kulturgut, das während der nationalsozialistischen Herrschaft verfolgungsbedingt entzogen wurde (2019)","Der Leitfaden Provenienzforschung versteht sich als ein Kompendium mit praktischen Hinweisen, Fallbeispielen, Adressen und (Internet-) Quellen. Er ist zusammengestellt für alle in der Provenienzforschung Tätigen, für Leiter*innen und Mitarbeitende von Museen, Bibliotheken und Archiven, für den Kunst- und Antiquariatshandel sowie für Privatsammler*innen. Allen, die sich mit der Herkunft ihrer Sammlungsobjekte oder Bestände auseinandersetzen wollen, soll dieser Leitfaden Anregung und Hilfe bieten. Thematisch liegt der Fokus auf die Suche nach und der Identifizierung von Kulturgütern, die ihren – meist jüdischen – Eigentümer*innen zwischen 1933 und 1945 entzogen oder geraubt wurden.
Zitiervorschlag: Deutsches Zentrum Kulturgutverluste, Arbeitskreis Provenienzforschung e.V, Deutscher Bibliotheksverband, Deutscher Museumsbund, & ICOM Deutschland (Hrsg.). (2019). Leitfaden Provenienzforschung: Zur Identifizierung von Kulturgut, das während der nationalsozialistischen Herrschaft verfolgungsbedingt entzogen wurde. Deutsches Zentrum Kulturgutverluste. https://kulturgutverluste.de/sites/default/files/2023-04/Leitfaden-Anlage-Download.pdf ","https://kulturgutverluste.de/sites/default/files/2023-04/Leitfaden-Download.pdf",,,"x",,,"x",,,,,
"S10XO8","Standards on Accessioning of the International Council of Museums (2020)","Die Standards on Accessioning of the International Council of Museums sind eine Richtlinie des International Council of Museums (ICOM) zu Erwerbungen in Museen und Sammlungen (verabschiedet 2020). Entsprechend den ethischen Prinzipien des ICOM verpflichtet er sammelnde Einrichtungen zu einem code of conduct, der u.a. die Rechtmäßigkeit des Besitzes, Provenienzerschließung und Dokumentation gewährleisten soll. Der Leitfaden nennt u.a. rechtliche Grundlagen, wichtige Online-Datenbanken und gängige Praktiken.
Zitiervorschlag: ICOM - International Council of Museums (Hrsg.). (2020). Standards on Accessioning of the International Council of Museums. https://icom.museum/wp-content/uploads/2022/02/Accessioning-Standards_EN.pdf ","https://icom.museum/wp-content/uploads/2022/02/Accessioning-Standards_EN.pdf",,,"x",,"x","x","x","x","x","x","x"
"Y9BAQ7","Checkliste „Auftauchen von Beutekunst“ (2023)","Bei dem Auftauchen von infolge des Zweiten Weltkriegs verbrachten Kulturgütern (sog. „Beutekunst“)
im Kunsthandel oder in Auktionen bzw. dem Angebot von Privatpersonen an Einrichtungen, die den
Verlust erlitten haben, solche Objekte wieder zu erwerben, ergeben sich für die ursprünglichen
Eigentümereinrichtungen Fragen zum raschen und richtigen Vorgehen. Diese Checkliste dient - unabhängig von den konkreten tatsächlichen und rechtlichen Besonderheiten des Einzelfalls - als erste Orientierung und rechtlich unverbindliche Empfehlung für die Betroffenen und informiert über die wichtigsten Sofortmaßnahmen.
Zitiervorschlag: Deutsches Zentrum Kulturgutverluste (Hrsg.). (2023). Checkliste „Auftauchen von Beutekunst“. https://kulturgutverluste.de/sites/default/files/2023-04/Checkliste%20Kriegsverluste.pdf ","https://kulturgutverluste.de/sites/default/files/2023-04/Checkliste%20Kriegsverluste.pdf",,,"x",,,,,"x",,,
"LL972U","UMAC Guidance for Restitution and Return of items from university museums and collections (2021)","Die folgenden Leitlinien erläutern die Grundsätze des ICOM-Ethikkodex für Museen bezüglich der Rückgabe und Restitution von Gegenständen aus Museumssammlungen und in der Erklärung der Vereinten Erklärung der Vereinten Nationen über die Rechte indigener Völker (UNDRIP). Sie konzentriert sich speziell auf die Rückgabe und Restitution von  Gegenständen aus Universitäten und deren Museen und Sammlungen. Die Gegenstände können aus den Heimatländern und aus anderen Teilen der Welt stammen. Der Begriff „Gegenstand“ bezieht sich auf Objekte, Proben und Muster, aber auch auf (menschliche) Überreste von Vorfahren und heilige Gegenstände: Die Verwendung des Begriffs Gegenstand' in diesem Leitfaden schmälert nicht ihre Bedeutung.
Zitiervorschlag: International ICOM Committee for, University Museums and Collections, & International ICOM Committee for University Museums and Collections (Hrsg.). (2021, Dezember). UMAC Guidance for Restitution and Return of items from university museums and collections. http://umac.icom.museum/wp-content/uploads/2022/03/UMAC-Guidance-Restitution-2022.pdf ","http://umac.icom.museum/wp-content/uploads/2022/03/UMAC-Guidance-Restitution-2022.pdf",,,"x",,"x",,,,"x","x",
"UTW8G7","Erstcheck Provenienzforschung. Eine Handreichung für die Praxis (2024)","Die Handreichung ""Erstcheck"" basiert auf den Erfahrungen, die seit mehr als zehn Jahren bei der Vorbereitung, Koordination und Durchführung von Erstchecks in verschiedenen Bundesländern gesammelt wurden. Sie soll helfen, Abläufe effektiver zu gestalten, die Koordination zu vereinfachen und damit nicht zuletzt auch die Forschungsergebnisse vergleichbar und transparent zu machen. Die Handreichung wendet sich gleichermaßen an die museumsberatenden Einrichtungen der Bundesländer, an Mitarbeiterinnen und Mitarbeiter von Museen sowie an die Provenienzforscherinnen und -forscher. 
Johann, S., Müller-Spreitz, A., & Sachse, A. (2024). Erstcheck Provenienzforschung. Eine Handreichung für die Praxis (Museumsverband Sachsen-Anhalt e. V, Museumsverband des Landes Brandenburg e. V., & Museumsverband Hessen e. V., Hrsg.). https://www.museen-brandenburg.de/fileadmin/Themen/Provenienzforschung/Handreichung_Erstcheck_Johann__Mueller-Spreitz__Sachse_2024.pdf ","https://www.museen-brandenburg.de/fileadmin/Themen/Provenienzforschung/Handreichung_Erstcheck_Johann__Mueller-Spreitz__Sachse_2024.pdf",,,"x",,"x","x","x","x","x","x","x"
"D6TJWB","Leitfaden Besitz- und Eigentumsfragen (2022)","Der vorliegende Leitfaden behandelt speziell den Aspekt von Besitz- und Eigentum aus juristischer
Perspektive im Hinblick auf die Besonderheiten im Umgang mit wissenschaftlichen Sammlungen.
Zitiervorschlag: Koordinierungsstelle für wissenschaftliche Universitätssammlungen in Deutschland (Hrsg.). (2022, Januar 5). Leitfaden Besitz- und Eigentumsfragen. https://wissenschaftliche-sammlungen.de/files/9116/4137/9068/HR_Besitz-und-Eigentumsfragen_202201.pdf ","https://wissenschaftliche-sammlungen.de/files/9116/4137/9068/HR_Besitz-und-Eigentumsfragen_202201.pdf",,,"x",,"x","x","x","x","x","x","x"
"J6C5UK","Sensibles Sammlungsgut in Universitätssammlungen. Handreichung für einen Einstieg in die Provenienzforschung (2024)","Die Handreichung ""Sensibles Sammlungsgut in Universitätssammlungen. Handreichung für einen Einstieg in die Provenienzforschung"" wurde im Sommersemester 2019 in einem Seminar zum Thema Provenienzforschung in wissenschaftlichen Sammlungen, Museen und Archiven an der Justus-Liebig-Universität Gießen erarbeitet, um einen ersten Einstieg in die Thematik zu sensiblem Sammlungsgut zu ermöglichen. Seitdem wurde sie mehrfach aktualisiert, zuletzt im Dezember 2024.
Zitiervorschlag: Theiß, A., & Weber, C. (2024). Sensibles Sammlungsgut in Universitätssammlungen. Handreichung für einen Einstieg in die Provenienzforschung. Koordinierungsstelle für wissenschaftliche Universitätssammlungen in Deutschland. https://wissenschaftliche-sammlungen.de/de/service-material/materialien/handreichung-fuer-einen-einstieg-die-provenienzforschung ","https://wissenschaftliche-sammlungen.de/de/service-material/materialien/handreichung-fuer-einen-einstieg-die-provenienzforschung",,,"x",,"x","x","x","x","x","x",
"IVXK0K","Projektbericht Provenienzforschung in NRW: Informationen und Empfehlungen für eine systematische, flächendeckende und nachhaltige Provenienzforschung (2019)","Die Ergebnisse des Projekts „Provenienzforschung in NRW“ (2017 – 2019) sind im Projektabschlussbericht „Provenienzforschung in NRW – Informationen und Empfehlungen für eine systematische, flächendeckende und nachhaltige Provenienzforschung“ publiziert. Als praktisches Nachschlagewerk liefert er wichtige Informationen zu Strukturen, Akteuren und Methoden der Provenienzforschung sowie die Erkenntnisse und Empfehlungen des Projekts.
Zitiervorschlag: Türnich, R., Heckötter, A., & Offergeld, A. (2019). Projektbericht Provenienzforschung in NRW: Informationen und Empfehlungen für eine systematische, flächendeckende und nachhaltige Provenienzforschung (Landschaftsverband Rheinland, Hrsg.). ","https://www.lvr.de/de/nav_main/kultur/berdasdezernat_1/frderungen/museumsberatung/provenienzforschung/projektbericht_und_arbeitshilfen/inhaltsseite_181.jsp",,,"x",,"x","x","x","x","x","x","x"
"MXLMB9","The AAM Guide to Provenance Research (2001)","Dieser Leitfaden ist ein Hilfsmittel für die Rückverfolgung der Eigentumsgeschichte von Kunstwerken. Er konzentriert sich auf Kulturgüter, die während des Zweiten Weltkriegs von den Nazis und anderen geraubt wurden, und ist in drei Teile gegliedert: Grundlegende Provenienzforschung und Prinzipien, Provenienzforschung aus der Zeit des Holocaust und Anhänge mit Bibliografien von Sammlungen, Händlerarchiven und „Red Flag“-Namen, die vom Office of Strategic Services zusammengestellt wurden. Enthält einen Index und Reproduktionen von Kunstwerken und relevanten Dokumenten.
Zitiervorschlag: Yeide, N. H., Akinsha, Konstantin., & Walsh, A. L. (2003). The AAM Guide to Provenance Research (American Association of Museums., Hrsg.).","http://primo.getty.edu/GRI:GETTY_ALMA21115659820001551",,,"x",,,"x",,"x",,,
"Y2E9KZ","NS-Provenienzforschung und Restitution an Bibliotheken (2017)","Das Buch bietet BibliotheksmitarbeiterInnen und Interessierten ein Grundverständnis der Problematik und das Rüstzeug, um bedenkliche Fälle in der alltäglichen Arbeit zu erkennen und zu behandeln. Es zeigt, wie Provenienzforschung in die Organisation integriert werden kann, wie betroffene Bücher sowie die rechtmäßigen EigentümerInnen identifiziert werden können, wie die einzelnen Fälle und Exemplare bearbeitet werden und wie wichtig dabei die Verbreitung der Forschungsergebnisse und die Vernetzung mit anderen ist.
Zitiervorschlag: Alker, S., Bauer, B., & Stumpf, M. (2016). NS-Provenienzforschung und Restitution an Bibliotheken. In NS-Provenienzforschung und Restitution an Bibliotheken. De Gruyter. https://doi-1org-1007ec9kf0852.erf.sbb.spk-berlin.de/10.1515/978311031863 "," https://doi.org/10.1515/9783110318630 ",,,"x",,,"x",,,,,
"RB4P76","Handbuch zur Judaica Provenienzforschung: Zeremonialobjekte (2019)","Das Handbuch soll ein wesentlicher Schritt sein, Museums- oder Synagogen-Kuratoren, Auktionäre, Forscher, Überlebende oder deren Erben in ihren Forschungen zu unterstützen. Konkret soll es dazu führen, die Geschichte ritueller Objekte aus eigenen Sammlungen zu bestimmen und mehr über das Schicksal wichtiger Objekte zu erfahren, die vielleicht wähend des Holocaust verloren gingen.
Zitiervorschlag: Cohen, V. J.-M., Heimann-Jelinek, F., & Weinberger, R. J. (2019). Handbuch zur Judaica Provenienzforschung: Zeremonialobjekte. https://art.claimscon.org/wp-content/uploads/2019/09/Judaica-Handbook-DE_17-Sep-2019.pdf ","https://art.claimscon.org/wp-content/uploads/2019/09/Judaica-Handbook-DE_17-Sep-2019.pdf",,,"x",,,"x",,,,"x",
"KFH87J","Nazi-Era Provenance of Museum Collections. A research guide (2024)","Das Buch Nazi-Era Provenance of Museum Collections vermittelt das Wissen und die Strategien, die für die Auseinandersetzung mit dem Schatten der nationalsozialistischen Vergangenheit in Museumssammlungen unerlässlich sind. Jacques Schuhmacher bietet die notwendige historische Orientierung, um die komplexe Kampagne der systematischen Enteignung und Vernichtung durch die Nationalsozialisten zu verstehen, und beleuchtet das aktuelle Umfeld, in dem die museale Provenienzforschung zur NS-Zeit stattfindet. Dabei führt das Buch in die Forschungsmethoden und -mittel ein, mit denen die Geschichten hinter den Objekten aufgedeckt werden können.
Zitiervorschlag: Schuhmacher, J. (2024). Nazi-Era Provenance of Museum Collections. A research guide. UCL Press, V&A London. https://doi.org/10.14324/111.9781800086890 ","https://uclpress.co.uk/book/nazi-era-provenance-of-museum-collections/",,,"x",,,"x",,,,,
"QECYTU","Leitfaden zum Umgang mit Sammlungsgut aus kolonialen Kontexten (2021)","Der Leitfaden bietet eine praktische Arbeitshilfe für den Umgang mit Objekten aus kolonialen Kontexten und bei der Zusammenarbeit mit Herkunftsgesellschaften. Auf Basis des Leitfadens können Institutionen individuell passende Richtlinien für Ihre Arbeitt entwickeln. Sie erhalten grundlegende Informationen zum Thema „Kolonialismus und Museen“ aus unterschiedlichen Fachbereichen – dabei bindet der Leitfaden auch die Perspektiven internationaler Expert*innen aus verschiedenen Herkunftsgesellschaften ein.
Zitiervorschlag: Deutscher Museumsbund e.V. (Hrsg.). (2021). Leitfaden zum Umgang mit Sammlungsgut aus kolonialen Kontexten (3. Aufl.). https://www.museumsbund.de/publikationen/leitfaden-zum-umgang-mit-sammlungsgut-aus-kolonialen-kontexten/ ","https://www.museumsbund.de/publikationen/leitfaden-zum-umgang-mit-sammlungsgut-aus-kolonialen-kontexten/",,,"x",,"x",,,,"x","x",
"ULBJDK","Empfehlungen zum Umgang mit Objekten aus kolonialen Kontexten in den Bundesmuseen Österreichs (2023)","Das Ziel der Empfehlung des Beratungsgremiums für Handlungsrahmen zu Beständen österreichischer Bundesmuseen aus kolonialen Kontexten ist es, die historischen Unrechtmäßigkeiten, die durch das Sammeln von Kulturgütern mit kolonialen Kontexten entstanden sind, zu beheben, die Interessen der unterschiedlichen involvierten Seiten besser zu verstehen und sich mit dem Erbe des Kolonialismus auseinander zu setzen.
Zitiervorschlag: Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport, Sektion IV – Kunst und Kultur (Hrsg.). (2023). Empfehlungen zum Umgang mit Objekten aus kolonialen Kontexten in den Bundesmuseen Österreichs. https://www.bmwkms.gv.at/themen/kunst-und-kultur/service-kunst-und-kultur/beiraete-und-gremien/beratungsgremium-zu-bestaenden-bundesmuseen-aus-kolonialen-kontexten.html ","https://www.bmkoes.gv.at/kunst-und-kultur/service-kunst-und-kultur/beiraete-und-gremien/beratungsgremium-zu-bestaenden-bundesmuseen-aus-kolonialen-kontexten.html",,,"x",,"x",,,,"x","x",
"LNYOFV","A repatriation handbook: a guide to repatriating Australian Aboriginal and Torres Strait Islander Ancestral Remains (2020)","Dieses Handbuch richtet sich in erster Linie an Personen, die sich mit der Rückführung von Überresten in die Gemeinschaften der Aborigines und Torres Strait Islander befassen - insbesondere an diejenigen, die neu in solche Prozesse eingebunden sind. Zu diesem Zweck ist es in einem Format geschrieben, das es dem Benutzer von ermöglichen soll, bestimmte Themen oder Fragen zu identifizieren und nachzuschlagen. Es betrachtet die Rückführung von Überresten der Vorfahren sowohl aus der Sicht des Museums als auch aus der Sicht der Gemeinschaft.
Zitiervorschlag: Pickering, M. (2020). A repatriation handbook: A guide to repatriating Australian Aboriginal and Torres Strait Islander Ancestral Remains (National Museum of Australia, Hrsg.). National Museum of Australia Press. ","https://www.nma.gov.au/__data/assets/pdf_file/0009/734796/NMA-Repatriation-handbook.pdf",,,"x",,"x",,,,"x","x",
